experiment_id,version,date,git_commit,baseline_commit,dataset,protocol,seed,multi_seed_group,baseline_comparator,baseline_variance,stage1_change,stage2_change,hypothesis,status,completed,rank1_all,map_all,minp_all,rank1_indoor,map_indoor,minp_indoor,best_epoch,final_epoch,contract_path,preflight_output_path,gate_output_path,log_path,summary_path,parser_command,parser_version,monitor_status,monitor_log_path,monitor_exit_status,monitor_started_at,monitor_completed_at,monitor_error_detected,monitor_parsed_summary,checkpoint_path,model_best_path,stage1_best_path,checkpoint_hashes,stage1_checkpoint_source,full_state_restore,optimizer_state,scheduler_state,evidence_grade,reviewer,decision,notes
baseline_sysu_ori_test2,baseline,2026-03-16,UNVERIFIED_LOCAL_COPY_REMOTE_HEAD_2bb095050aba41cb252ca7d3a607283034f3cb23,SELF,SYSU-MM01,full-chain all-search+indoor 10-trial average,UNKNOWN,baseline_ori_test2,self,UNVERIFIED_single_run,original SDCL reproduction,original SDCL reproduction,trusted reproduction anchor,completed,yes,65.55,63.41,50.38,71.12,76.58,73.12,38,49,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,logs-part1/sysu_train_ori_test2/log.txt,logs-part1/sysu_train_ori_test2/summary.md,python scripts/parse_sysu_log.py /mnt/data/lhp/SDCL2/logs-part1/sysu_train_ori_test2/log.txt > /mnt/data/lhp/SDCL2/logs-part1/sysu_train_ori_test2/summary.md,scripts/parse_sysu_log.py current 2026-07-06,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,UNKNOWN,UNKNOWN,UNVERIFIED_legacy_run,yes_manual_2026-07-06,logs-part1/sysu_train_ori_test2/checkpoint.pth.tar,logs-part1/sysu_train_ori_test2/model_best.pth.tar,logs-part1/sysu_train_ori_test2/20model_best.pth.tar,checkpoint=b1dc67e036fdc2c1bad5beb6715a0b93daffa4ee0b942b1f1ddccff3a91ea55e;model_best=0eb64daa69ca9eb993fdf722654c21eca6d3c1ecef73335813eb5f615ed6fb9b;20model_best=39dcea0bebf2f8de1583078c4462528796962fb0a3dc64db1af199f835c8fdcd;log=57ff8ede3c345613421af8170ed4054114155e58e8b443b927615fc3992f9c7b,logs-part1/sysu_train_ori_test2/20model_best.pth.tar,no_legacy_model_only_handoff,UNVERIFIED_legacy_run,UNVERIFIED_legacy_run,raw-log+checkpoint-hash,infrastructure_update_2026-07-06,baseline_anchor,actual reproduction-best directory provided by user on 2026-07-06
v16_unknown,v16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
v17_unknown,v17,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
v18_cm_triplet,v18,UNKNOWN,UNKNOWN,UNKNOWN,SYSU,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,CM-triplet family,UNKNOWN,archived,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reject,notes only
v19_xmb_tba,v19,UNKNOWN,UNKNOWN,UNKNOWN,SYSU,UNKNOWN,seed2,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,XMB/TBA variants,UNKNOWN,archived,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reject,notes only
v20_gprd_agree_seed1_stage2only,v20,2026-06-29,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD agree,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0629/log_sysu_v20_gprd_agree_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v21_gprd_conflict_seed1_stage2only,v21,2026-06-30,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD conflict,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0630/log_sysu_v21_gprd_conflict_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v22_gprd_conflict_e50_seed1_stage2only,v22,2026-06-30,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD conflict e50,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0630/log_sysu_v22_gprd_conflict_e50_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v23_gprd_agree_decay_seed1_stage2only,v23,2026-06-30,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD agree decay,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0630/log_sysu_v23_gprd_agree_decay_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v24_gprd_adapt_seed1_stage2only,v24,2026-06-30,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD adapt,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0630/log_sysu_v24_gprd_adapt_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v25_gprd_boost_seed1_stage2only,v25,2026-07-02,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD boost,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0702/log_sysu_v25_gprd_boost_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v26_gprd_hardmax_seed1_stage2only,v26,2026-07-02,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD hardmax,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0702/log_sysu_v26_gprd_hardmax_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v27_unknown,v27,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
v28_gprd_replay_seed1_stage2only,v28,2026-07-02,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD replay,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0702/log_sysu_v28_gprd_replay_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v29_gprd_gap_seed1_stage2only,v29,2026-07-03,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD gap,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0703/log_sysu_v29_gprd_gap_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v30_gprd_force_seed1_stage2only,v30,2026-07-03,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD force,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0703/log_sysu_v30_gprd_force_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v31_gprd_plg_seed1_stage2only,v31,2026-07-03,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,GPRD-PLG,improve Stage-2 tail,completed,yes,64.18,62.67,50.06,70.28,76.03,72.66,48,49,UNKNOWN,UNKNOWN,UNKNOWN,logs/0703/log_sysu_v31_gprd_plg_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,reject,parsed 2026-07-06
v32_pqlc_seed1_stage2only,v32,2026-07-03,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,PQLC,calibrate pseudo-label quality,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0703/log_sysu_v32_pqlc_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v33_cmgc_seed1_stage2only,v33,2026-07-04,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,CMGC joint labels,joint label structure,completed,yes,61.25,59.02,45.63,66.37,72.27,68.60,33,49,UNKNOWN,UNKNOWN,UNKNOWN,logs/0704/log_sysu_v33_cmgc_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,reject,from notes
v34_irmt_seed1_stage2only,v34,2026-07-04,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,UNKNOWN,IRMT,reliable IR-anchored transfer,completed,yes,63.90,62.62,50.22,70.23,75.86,72.65,46,49,UNKNOWN,UNKNOWN,UNKNOWN,logs/0704/log_sysu_v34_irmt_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,reject,parsed 2026-07-06
v35_fullstate_seed1,v35,2026-07-04,UNKNOWN,UNKNOWN,SYSU,full-chain/full-state,1,UNKNOWN,UNVERIFIED,UNVERIFIED,none,full-state handoff,fix Stage-2 cold-start,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,notes only
v36_cmbs_seed1_stage2only,v36,2026-07-05,UNKNOWN,UNKNOWN,SYSU,stage2-only,1,UNKNOWN,UNVERIFIED,UNVERIFIED,none,CMBS,UNKNOWN,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0705/log_sysu_v36_cmbs_seed1_stage2only.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,UNKNOWN,log exists
v37_s1handoff_seed1_fullchain,v37,2026-07-05,UNKNOWN,UNKNOWN,SYSU,full-chain,1,UNKNOWN,UNVERIFIED,UNVERIFIED,handoff selector,none,diagnostic selector,logged,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,logs/0705/log_sysu_v37_s1handoff_seed1_fullchain.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,reject as breakthrough,log exists
v38_proto_bridge_seed1_fullchain,v38,2026-07-05,UNKNOWN,UNKNOWN,SYSU,full-chain,1,UNKNOWN,UNVERIFIED,UNVERIFIED,proto bridge,none,shared Stage-1 prototypes,completed,yes,63.27,61.57,48.85,69.73,75.43,71.73,46,59,UNKNOWN,UNKNOWN,UNKNOWN,logs/0705/log_sysu_v38_proto_bridge_seed1_fullchain.txt,logs/0705/sysu_v38_proto_bridge_seed1_fullchain/summary.md,UNKNOWN,UNKNOWN,yes,logs/0705/sysu_v38_proto_bridge_seed1_fullchain/monitor.log,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,yes,logs/0705/sysu_v38_proto_bridge_seed1_fullchain/checkpoint.pth.tar,logs/0705/sysu_v38_proto_bridge_seed1_fullchain/model_best.pth.tar,logs/0705/sysu_v38_proto_bridge_seed1_fullchain/20model_best.pth.tar,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log,UNKNOWN,reject,parsed 2026-07-06
v39_ema_teacher_seed1_fullchain,v39,2026-07-06,UNKNOWN,UNKNOWN,SYSU,full-chain,1,UNKNOWN,UNVERIFIED,UNVERIFIED,EMA teacher feature source,EMA teacher for clustering/CRA,stabilize clustering,early_stopped,no,12.31,13.22,6.29,14.08,21.49,18.01,22,22,UNKNOWN,UNKNOWN,UNKNOWN,logs/0706/log_sysu_v39_ema_teacher_seed1_fullchain.txt,logs/0706/sysu_v39_ema_teacher_seed1_fullchain/summary.md,python scripts/parse_sysu_log.py logs/0706/log_sysu_v39_ema_teacher_seed1_fullchain.txt > logs/0706/sysu_v39_ema_teacher_seed1_fullchain/summary.md,scripts/parse_sysu_log.py current 2026-07-06,stopped_by_user_after_stage1_failure,logs/0706/sysu_v39_ema_teacher_seed1_fullchain/monitor.log,screen_quit_manual,UNKNOWN,2026-07-06T04:43Z_manual_stop,none_loss_state_ok,yes_manual_2026-07-06,logs/0706/sysu_v39_ema_teacher_seed1_fullchain/checkpoint.pth.tar,logs/0706/sysu_v39_ema_teacher_seed1_fullchain/model_best.pth.tar,logs/0706/sysu_v39_ema_teacher_seed1_fullchain/20model_best.pth.tar,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,raw-log+manual-stop+parser-summary,user+codex_2026-07-06,reject,Stopped at epoch 22 because Stage-1 metrics were severely abnormal: best all 12.31/13.22/6.29 and indoor 14.08/21.49/18.01; no Stage-1 improvement.
v39_ema_teacher_delay30_seed1_fullchain,v39,2026-07-06,8d6fb56,5eeff06,SYSU,full-chain,1,1-2-3,baseline_sysu_ori_test2,diagnostic_only_no_repeated_variance,EMA teacher delayed until cmlabel 30,EMA teacher for clustering/CRA after handoff,stale EMA teacher caused Stage-1 collapse; delayed start should restore outlier and mAP trajectory,running,no,,,,,,,,,experiments/contracts/v39_ema_teacher_delay30_seed1_fullchain.md,experiments/contracts/v39_ema_teacher_delay30_seed1_fullchain.preflight.txt,experiments/contracts/v39_ema_teacher_delay30_seed1_fullchain.gate.md,/home/lhp/project/SDCL2/logs/0706/log_sysu_v39_ema_teacher_delay30_seed1_fullchain.txt,/home/lhp/project/SDCL2/logs/0706/sysu_v39_ema_teacher_delay30_seed1_fullchain/summary.md,python scripts/parse_sysu_log.py /home/lhp/project/SDCL2/logs/0706/log_sysu_v39_ema_teacher_delay30_seed1_fullchain.txt > /home/lhp/project/SDCL2/logs/0706/sysu_v39_ema_teacher_delay30_seed1_fullchain/summary.md,scripts/parse_sysu_log.py current 2026-07-06,running_screen,/home/lhp/project/SDCL2/logs/0706/sysu_v39_ema_teacher_delay30_seed1_fullchain/monitor.log,running,2026-07-06T04:54:44+00:00,pending,none_detected_at_launch,no,/home/lhp/project/SDCL2/logs/0706/sysu_v39_ema_teacher_delay30_seed1_fullchain/checkpoint.pth.tar,/home/lhp/project/SDCL2/logs/0706/sysu_v39_ema_teacher_delay30_seed1_fullchain/model_best.pth.tar,/home/lhp/project/SDCL2/logs/0706/sysu_v39_ema_teacher_delay30_seed1_fullchain/20model_best.pth.tar,pending,this_run_20model_best,no,pending,pending,contract+gate+screen-launch,user+codex_2026-07-06,pending,Launched automated screen run at 2026-07-06T04:54:44+00:00; log confirms ema_teacher_start=30 and epoch 0 clustering_source=student.
